"","PlantID","PlantName","OperatorName","OperatorID","State","County","NameplateCapacityMWSum","NetGenerationMWSum","CapacityFactor"
"13598",55710,"Allegheny Energy Units 3 4 & 5","Springdale Energy LLC","61267","PA","Allegheny",556,3893141,79.9321022633948
"13601",55714,"Magnet Cove","Arkansas Electric Coop Corp","807","AR","Hot Spring",746,1834885,28.0779836448884
"13604",55718,"Dean","DTE Electric Company","5109","MI","St Clair",357.6,266109,8.49489365940364
"13608",55719,"Mountain View I&2","AES Wind Generation Inc","19740","CA","Riverside",66.6,197485,33.8497744319662
"13610",55733,"Bennett Mountain","Idaho Power Co","9191","ID","Elmore",172.8,149158,9.85368573482158
"13611",55734,"Gray County Wind Energy","Gray County Wind Energy LLC","7531","KS","Gray",112,254995,25.9901948793216
"13612",55736,"Hanging Rock Energy Facility","Dynegy Hanging Rock Energy Facility","59924","OH","Lawrence",1429.8,9286025,74.1396360317342
"13618",55738,"Buchanan Generation LLC","Buchanan Generation, LLC","61318","VA","Buchanan",88,196485,25.488402864259
"13620",55739,"Condon Windpower LLC","Allete Clean Energy","59496","OR","Gilliam",49.8,98535,22.5869230346042
"13622",55740,"Rock River I LLC","Shell Wind Energy Inc.","17058","WY","Carbon",50,138698,31.6662100456621
"13623",55741,"Ridge Crest Wind Partners","EDF Renewable Services Inc","5906","CO","Logan",29.7,67749,26.0400811770675
"13624",55742,"Montfort Wind Energy Center","Wisconsin Electric Power Co","20847","WI","Iowa",30,39872,15.1719939117199
"13625",55747,"NWP Indian Mesa Wind Farm","NWP Indian Mesa Wind Farm LP","13866","TX","Pecos",82.5,149851,20.7348830773488
"13626",55748,"Los Esteros Critical Energy Center","Los Esteros Critical Energy Facility LLC","2860","CA","Santa Clara",306.1,356431,13.2925417574762
"13631",55749,"Hardin Generator Project","Heorot Power Management","16233","MT","Big Horn",115.7,147378,14.5410307715987
"13632",55752,"Sonoma Central Landfill Phase I","County of Sonoma Dept of Trnsp","17412","CA","Sonoma",3.2,7307,26.0666381278539
"13636",55753,"Sonoma Central Landfill Phase II","County of Sonoma Dept of Trnsp","17412","CA","Sonoma",3.2,13965,49.8180650684931
"13640",55757,"Model City Energy Facility","Model City Energy LLC","12758","NY","Niagara",5.6,39277,80.0656392694064
