"","PlantID","PlantName","OperatorName","OperatorID","State","County","NameplateCapacityMWSum","NetGenerationMWSum","CapacityFactor"
"8240",7827,"Shelby North","American Mun Power-Ohio, Inc","40577","OH","Richland",1.8,84,0.532724505327245
"8241",7828,"Shelby South","City of Shelby - (OH)","17043","OH","Richland",1.8,88,0.558092338914257
"8244",7831,"Beaver Island","Great Lakes Energy Coop","38084","MI","Charlevoix",3.3,60,0.20755500207555
"8285",7842,"Freedom Power Project","Southwestern Electric Coop Inc - (IL)","17697","IL","Fayette",71,1453,0.233616309730529
"8286",7843,"Pleasant Valley (MN)","Great River Energy","7570","MN","Mower",467.8,95261,2.32461380483015
"8289",7844,"Minnesota River","Minnesota Municipal Power Agny","12667","MN","Carver",49,549,0.127900475258597
"8309",7847,"Coon Rapids II","City of Coon Rapids","4305","IA","Carroll",5.4,71,0.150093015389819
"8315",7849,"Knoxville Industrial","MidAmerican Energy Co","12341","IA","Marion",16,69,0.0492294520547945
"8323",7850,"Shenandoah","MidAmerican Energy Co","12341","IA","Page",20,154,0.0878995433789954
"8333",7851,"Waterloo Lundquist","MidAmerican Energy Co","12341","IA","Black Hawk",18,171,0.108447488584475
"8342",7853,"West Receiving","City of Denison - (IA)","5056","IA","Crawford",2,8,0.045662100456621
"8343",7854,"Avenue A Generator Sets","City of Rock Falls - (IL)","16198","IL","Whiteside",3.6,290,0.919583967529173
"8347",7856,"North","City of Greenfield - (IA)","7626","IA","Adair",8,77,0.109874429223744
"8351",7857,"Gilliam South","City of Stuart - (IA)","18231","IA","Adair",4.3,10,0.0265477328236169
"8353",7858,"MEPI GT Facility","Midwest Electric Power Inc","12159","IL","Massac",301.5,2601,0.0984802017310707
"8358",7860,"Shelbina Power #3","City of Shelbina - (MO)","17035","MO","Shelby",3.6,22,0.0697615423642821
"8362",7863,"Elk Mound","Dairyland Power Coop","4716","WI","Chippewa",71,7084,1.13897999871374
"8364",7865,"Earlville","City of Earlville - (IA)","5563","IA","Delaware",1.8,42,0.266362252663623
"8390",7874,"Edgerton","American Mun Power-Ohio, Inc","40577","OH","Williams",3.6,201,0.637366818873668
"8392",7878,"Wellington","American Mun Power-Ohio, Inc","40577","OH","Lorain",1,51,0.582191780821918
"8393",7883,"Powell Valley","Powell Valley Electric Coop","15293","TN","Hancock",22,598,0.310294728102947
"8404",7884,"Dakota Magic","Dakota Magic Casino","4775","ND","Richland",1.5,0,0
"8441",7911,"Kern Canyon","Pacific Gas & Electric Co.","14328","CA","Kern",9.5,0,0
"8443",7913,"Hell Gate","New York Power Authority","15296","NY","Bronx",94,37085,4.50366754104731
"8445",7914,"Harlem River Yard","New York Power Authority","15296","NY","Bronx",94,33058,4.01462158748664
"8457",7918,"Galion","American Mun Power-Ohio, Inc","40577","OH","Crawford",5.4,285,0.602486047691527
"8460",7919,"Seville","American Mun Power-Ohio, Inc","40577","OH","Medina",5.4,194,0.410113309656689
"8468",7924,"Albertville","Albertville Municipal Utilities Board","241","AL","Marshall",4,0,0
"8472",7925,"Lakefield Junction","Great River Energy","7570","MN","Martin",537.8,144743,3.07236398586496
"8479",7926,"South Strawberry","City of Strawberry Point","18204","IA","Clayton",3.6,13,0.041222729578894
